Released	Program Name	Program Revision	Approximate Date	Predecessor Name	Predecessor Revision	Known PCRs/PCNs/Software Anomaly Reports Incorporated Relative to Predecessor	References	Notes
	LUMINARY	102	1969-07-07	LUMINARY	101	PCR-277, PCR-791.2, PCR-797.2, PCR-798.2, PCR-802.2, PCR-805, PCR-807.2, PCR-827, L-1, L-2, LNY-76, LNY-77, TBD (2)	LUMINARY Memo #91	
	LUMINARY	103	1969-07-07	LUMINARY	102	PCR-279	LUMINARY Memo #91	
	LUMINARY	104	1969-07-07	LUMINARY	103	PCR-802.2, PCR-814	LUMINARY Memo #91	
	LUMINARY	105	1969-07-07	LUMINARY	104	(none)	LUMINARY Memo #91	
	LUMINARY	106	1969-07-10	LUMINARY	105	PCR-780, PCR-781.2, PCR-812.2, PCR-818, PCR-825.2, PCR-826.2, PCR-831.2, LNY-68, LNY-87	LUMINARY Memo #92	
	LUMINARY	107	1969-07-14	LUMINARY	106	TBD (6), PCR-820, PCR-817, PCR-780	LUMINARY Memo #94	
	LUMINARY	108	1969-08-06	LUMINARY	107	PCR-797.2, PCR-816, PCR-839	LUMINARY Memo #103	
	LUMINARY	109	1969-08-06	LUMINARY	108	LNY-89, LNY-90, LNY-81, ACB-43, ACB-44, PCR-847, PCR-832.2, PCR-848	LUMINARY Memo #103	
	LUMINARY	110	1969-08-06	LUMINARY	109	(none)	LUMINARY Memo #103	
	LUMINARY	111	1969-08-06	LUMINARY	110	PCR-841	LUMINARY Memo #103	
	LUMINARY	112	1969-08-06	LUMINARY	111	PCR-854, LNY-91, PCR-853, L-3, PCR-842	LUMINARY Memo #103	
	LUMINARY	113	1969-08-06	LUMINARY	112	PCR-855, PCR-284	LUMINARY Memo #103	
	LUMINARY	114	1969-08-20	LUMINARY	113	TBD (1), PCR-856	LUMINARY Memo #107	
	LUMINARY	115	1969-08-20	LUMINARY	114	TBD (1), PCR-854	LUMINARY Memo #107	
R	LUMINARY	116	1969-08-20	LUMINARY	115	PCR-839	LUMINARY Memo #107	LUMINARY 116 was the Lunar Module AGC software flown on Apollo 12.
	LUMINARY	117	1969-11-06	LUMINARY	116	L-1B-02	LUMINARY Memo #122	
	LUMINARY	118	1969-11-06	LUMINARY	117	L-1B-01	LUMINARY Memo #122	
	LUMINARY	119-120	1969-11-06	LUMINARY	118	L-1B-02, L-1B-01, TBD (1), L-1B-04, LNY-92, PCR-882, PCR-936.2, PCR-863.2, L-5, L-1B-03	LUMINARY Memo #122	
	LUMINARY	121-129	1969-11-11	LUMINARY	120	PCR-285, PCR-943, PCR-893, PCR-895, PCR-968, PCR-806.2, PCR-971, PCR-846, PCR-972, L-1B-05, L-1B-09, L-1B-10, LNY-75, L-7, L-9	LUMINARY Memo #124	
R	LUMINARY	130	1969-11-11	LUMINARY	129	PCR-285, PCR-943, PCR-893, PCR-895, PCR-968, PCR-806.2, PCR-971, PCR-846, PCR-972, L-1B-05, L-1B-09, L-1B-10, LNY-75, L-7, L-9	LUMINARY Memo #124	
R	LUMINARY	131	1969-12-03	LUMINARY	130	PCR-893	LUMINARY Memo #127, LUMINARY Memo #129	
	LUMINARY	132-135	1970-01-02	LUMINARY	131	PCR-892, PCR-821.2, PCR-942, PCR-897, PCR-945, PCR-286, PCR-899, PCR-944, L-7, PCR-874.2, L-1C-03, L-1C-01, L-11, L-12	LUMINARY Memo #131	
	LUMINARY	136-139	1970-01-19	LUMINARY	135	PCR-872.2, PCR-294, PCR-892, TBD (3), PCR-872.2, PCR-287, L-1B-11, L-14, PCR-986.2	LUMINARY Memo #134	
	LUMINARY	140-143	1970-01-29	LUMINARY	139	PCN-990, L-15, PCR-979, L-13, PCR-982, PCR-983, PCR-896, PCR-896, PCR-896 	LUMINARY Memo #136	
	LUM131	1-8	1970-01-30	LUMINARY	131	TBD	LUMINARY Memo #137	
R	LUM131	9	1970-01-30	LUM131	8	TBD	LUMINARY Memo #137	
	LUM131A	1-3	1970-02-01	LUM131	9	TBD	LUMINARY Memo #137	
R	LM131	1	1970-02-04	LUM131A	3	TBD	No information available	LM131 rev 1 was the Lunar Module AGC software flown on Apollo 13.
	LUMINARY	144	1970-03-18	LUMINARY	143	PCR-898, PCR-286, PCR-287, PCR-287, L-1B-11, PCR-982, PCR-991.2, PCR-988, PCR-1015	LUMINARY Memo #142	
	LUMINARY	145	1970-03-18	LUMINARY	144	PCR-898, PCR-286, PCR-287, PCR-287, L-1B-11, PCR-982, PCR-991.2, PCR-988, PCR-1015	LUMINARY Memo #142	
