Signal      Source(s)                       Sink(s)                                                         
MGOJAM      A2-2                            
MGP/        A12-1                           
MIIP        A3-1                            
MINC        A15-1                           A6-2                                                            
MINC/       A15-1                           
MINHL       A3-1                            
MINKL       A21-2                           
MISSX       A23-1                           A23-1                                                           
MISSY       A23-1                           A23-1                                                           
MISSZ       A24-2                           A23-1                                                           
MKEY1       A25                             A18-1                                                           
MKEY2       A25                             A18-1                                                           
MKEY3       A25                             A18-1                                                           
MKEY4       A25                             A18-1                                                           
MKEY5       A25                             A18-1                                                           
MKRPT       A18-1                           A15-2,A18-1                                                     
MLDCH       77                              A21-2                                                           
MLOAD       77                              A21-2                                                           
MNHNC       77                              A21-2                                                           
MNHRPT      77                              A3-1                                                            
MNHSBF      77                              A14-1                                                           
MNIM+P      A27                             A17-1                                                           
MNIM+R      A28                             A17-1                                                           
MNIM+Y      A28                             A17-1                                                           
MNIM-P      A27                             A17-1                                                           
MNIM-R      A28                             A17-1                                                           
MNIM-Y      A28                             A17-1                                                           
MNISQ       A24-1                           
MON+CH      A21-2                           A5-1,A5-2,A6-2,A21-2                                            
MON/        A21-2                           A6-2,A21-2                                                      
MON800      A24-1                           
MONEX       A6-1                            A6-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1,A11-2                     
MONEX/      A5-1,A6-2                       A6-1                                                            
MONPAR      77                              A12-1                                                           
MONWBK      77                              A5-2                                                            
MONWT       A2-1                            
MOSCAL/     A13-1                           
MOUT        A6-2                            A23-2                                                           
MOUT/       A23-2                           A19-1,A19-2,A23-2                                               
MP0         A3-2                            A5-1,A5-2                                                       
MP0/        A3-2                            A4-2                                                            
MP0T10      A4-2                            A4-2,A6-2                                                       
MP1         A3-2                            A4-2,A6-2,A14-1                                                 
MP1/        A3-2                            A6-1,A6-2                                                       
MP3         A3-2                            A5-1,A5-2,A24-1                                                 
MP3/        A3-2                            A4-1,A4-2,A5-1,A6-1,A6-2                                        
MP3A        A4-1                            A2-3,A4-2                                                       
MPAL/       A12-1                           77                                                              
MPIPAL/     A13-1                           
MRAG        A7-2                            
MRCH        A24-2                           77                                                              
MRDCH       77                              A21-2                                                           
MREAD       77                              A21-2                                                           
MREQIN      A21-2                           
MRGG        A7-2                            
MRKREJ      A27                             A18-1                                                           
MRKRST      A27                             A18-1                                                           
MRLG        A7-2                            
MROLGT      A16-2                           A25                                                             
MRPTAL/     A13-1                           77                                                              
MRSC        A4-2                            
MRULOG      A7-2                            
MSBSTP      77                              
MSCAFL/     A13-1                           77                                                              
MSCDBL/     A12-1                           77                                                              
MSP         A12-1                           
MSQ10       A3-1                            
MSQ11       A3-1                            
MSQ12       A3-1                            
MSQ13       A3-1                            
MSQ14       A3-1                            
MSQ16       A3-1                            
MSQEXT      A3-1                            
MST1        A4-1                            
MST2        A4-1                            
MST3        A4-1                            
MSTP        77                              A2-2                                                            
MSTPIT/     A2-2                            
MSTRT       77                              A13-1                                                           
MSTRTP      A13-1                           A2-2                                                            
MSU0        A3-2                            A3-2,A5-1,A6-2                                                  
MSU0/       A3-2                            A5-1                                                            
MT01        A2-3                            77                                                              
MT02        A2-3                            
MT03        A2-3                            
MT04        A2-3                            
MT05        A2-3                            77                                                              
MT06        A2-3                            
MT07        A2-3                            
MT08        A2-3                            
MT09        A2-3                            
MT10        A2-3                            
MT11        A2-3                            
MT12        A2-3                            77                                                              
MTCAL/      A13-1                           77                                                              
MTCSA/      A3-2                            
MTCSAI      77                              A3-1,A4-1                                                       
MVFAIL/     A13-1                           77                                                              
MWAG        A7-1                            
MWARNF/     A13-1                           
MWATCH/     A24-1                           77                                                              
MWBBEG      A7-2                            
MWBG        A7-1                            
MWCH        A24-2                           77                                                              
MWEBG       A7-2                            
MWFBG       A7-2                            
MWG         A7-1                            
MWL01       A8-1                            77                                                              
MWL02       A8-1                            77                                                              
MWL03       A8-2                            77                                                              
MWL04       A8-2                            77                                                              
MWL05       A9-1                            77                                                              
MWL06       A9-1                            77                                                              
MWL07       A9-2                            
MWL08       A9-2                            
MWL09       A10-1                           
MWL10       A10-1                           
MWL11       A10-2                           
MWL12       A10-2                           
MWL13       A11-1                           
MWL14       A11-1                           
MWL15       A11-2                           
MWL16       A11-2                           
MWLG        A7-1                            
MWQG        A7-1                            
MWSG        A7-1                            77                                                              
MWYG        A7-1                            
MWZG        A7-1                            
NAVRST      A26                             A18-1                                                           
NDR100/     A5-2                            A4-1,A5-2                                                       
NDX0        A3-2                            A3-2                                                            
NDX0/       A3-2                            A5-2                                                            
NDXX1       A3-2                            A3-2                                                            
NDXX1/      A3-2                            A6-2                                                            
NEAC        A6-2                            A7-1,A7-2                                                       
NEXST0      A3-2                            A3-2                                                            
NEXST0/     A3-2                            A3-2                                                            
NHALGA      77                              A13-1                                                           
NHVFAL      A25                             A13-1                                                           
NISQ        A24-1                           A3-1,A11-1                                                      
NISQ/       A5-1                            A24-1                                                           
NISQL/      A3-1                            A3-1,A14-1,A21-2                                                
NKEY1       A26                             A18-1                                                           
NKEY2       A26                             A18-1                                                           
NKEY3       A26                             A18-1                                                           
NKEY4       A26                             A18-1                                                           
NKEY5       A26                             A18-1                                                           
NOTEST      A14-2                           A13-1                                                           
NOTEST/     A14-1                           A14-2                                                           
NOXM        A23-1                           A23-1                                                           
NOXP        A23-1                           A23-1                                                           
NOYM        A23-1                           A23-1                                                           
NOYP        A23-1                           A23-1                                                           
NOZM        A24-2                           A23-1                                                           
NOZP        A24-2                           A23-1                                                           
OCTAD2      A5-2                            A12-2,A20-2,A24-2                                               
OCTAD3      A5-2                            A20-1,A24-2                                                     
OCTAD4      A5-2                            A20-2,A21-3                                                     
OCTAD5      A5-2                            A21-3,A23-2                                                     
OCTAD6      A5-2                            A20-2                                                           
ODDSET/     A2-1                            A2-1,A2-3,A3-1,A24-2                                            
ONE         A24-2                           A11-2                                                           
OPCDEL      A29                             
OPCDFL      A27                             A17-1                                                           
OPEROR      A16-2                           A26                                                             
OPMSW2      A17-1                                                           
OPMSW3      A27                             A17-1                                                           
ORDRBT      A22-1                           A22-1                                                           
OSCALM      A13-1                           A17-1                                                           
OT1108      A23-2                           A25                                                             
OT1110      A24-1                           A25                                                             
OT1111      A24-1                           A25                                                             
OT1112      A24-1                           A25                                                             
OT1113      A23-2                           A25                                                             
OT1114      A23-2                           A25                                                             
OT1116      A23-2                           A25                                                             
OT1207      A16-1                           A25                                                             
OT1207/     A16-1                           
OTLNK0      A19-1                           A29                                                             
OTLNK1      A19-1                           A29                                                             
OTLNKM      A19-1                           A13-1,A21-3                                                     
OUTCOM      A24-2                           
OVF         A2-3                            A2-3                                                            
OVF/        A2-3                            A4-1,A15-2,A19-1                                                
OVFSTB/     A2-1                            A2-3                                                            
OVNHRP      A24-1                           A3-1                                                            
P01         A2-2                            A2-2,A6-1                                                       
P01/        A2-2                            A2-2                                                            
P02         A2-2                            A2-2,A13-1                                                      
P02/        A2-2                            A2-2,A13-1                                                      
P03         A2-2,A5-1                       A2-2,A13-1                                                      
P03/        A2-2                            A2-2,A13-1                                                      
P04         A2-2                            A2-2,A6-1                                                       
P04/        A2-2                            A2-2,A7-1                                                       
P04A        A7-1                            A7-1                                                            
P05         A2-2                            A2-2                                                            
P05/        A2-2                            A2-2,A6-1                                                       
PA03        A12-1                           A12-1                                                           
PA03/       A12-1                           A12-1                                                           
PA06        A12-1                           A12-1                                                           
PA06/       A12-1                           A12-1                                                           
PA09        A12-1                           A12-1                                                           
PA09/       A12-1                           A12-1                                                           
PA12        A12-1                           A12-1                                                           
PA12/       A12-1                           A12-1                                                           
PA15        A12-1                           A12-1                                                           
PA15/       A12-1                           A12-1                                                           
PALE        A12-1                           A12-1,A13-1                                                     
PARTC       A5-1                            A5-2                                                            
PB09        A12-1                           A12-1                                                           
PB09/       A12-1                           A12-1                                                           
PB15        A12-1                           A12-1                                                           
PB15/       A12-1                           A12-1                                                           
PC15        A12-1                           A12-1                                                           
PC15/       A12-1                           A12-1,A22-2,A23-1                                               
PCDU        A15-1                           A6-2                                                            
PCDU/       A15-1                           
PCHGOF      A28                             A17-1                                                           
PHS2        A2-1                            A2-1                                                            
PHS2/       A2-1                            A3-1,A4-1,A14-1,A21-2                                           
PHS3/       A24-2                           A4-1,A14-1,A21-2                                                
PHS4        A2-1                            A2-1,A4-1                                                       
PHS4/       A2-1                            A4-1,A6-1,A14-1,A21-2,A23-2                                     
PIFL/       A6-1                            A7-1                                                            
PINC        A5-1                            A6-2                                                            
PINC/       A5-1                            
PIPAFL      A23-1                           A13-1,A17-1                                                     
PIPASW      A24-1                           A26                                                             
PIPAX+      A28                             A10-2                                                           
PIPAX+/     A10-2                           A9-2                                                            
PIPAX-      A28                             A10-2                                                           
PIPAX-/     A10-2                           A9-2                                                            
PIPAY+      A28                             A10-2                                                           
PIPAY+/     A10-2                           A9-2                                                            
PIPAY-      A28                             A11-2                                                           
PIPAY-/     A11-2                           A10-1                                                           
PIPAZ+      A28                             A11-2                                                           
PIPAZ+/     A11-2                           A10-1                                                           
PIPAZ-      A28                             A11-2                                                           
PIPAZ-/     A11-2                           A10-1                                                           
PIPDAT      A24-1                           A26                                                             
PIPGX+      A9-2                            A23-1                                                           
PIPGX-      A9-2                            A23-1                                                           
PIPGY+      A9-2                            A23-1                                                           
PIPGY-      A10-1                           A23-1                                                           
PIPGZ+      A10-1                           A24-2                                                           
PIPGZ-      A10-1                           A24-2                                                           
PIPINT      A24-1                           A26                                                             
PIPPLS/     A24-1                           A7-1,A24-1                                                      
PIPSAM      A7-1                            A9-1,A9-2,A10-1                                                 
PIPSAM/     A9-1                            A9-2,A10-1                                                      
PIPXM       A23-1                           A20-2,A24-2                                                     
PIPXP       A23-1                           A20-2,A24-2                                                     
PIPYM       A23-1                           A20-2,A24-2                                                     
PIPYP       A23-1                           A20-2,A24-2                                                     
PIPZM       A24-2                           A20-2,A24-2                                                     
PIPZP       A24-2                           A20-2,A24-2                                                     
PONEX       A6-2                            A8-1                                                            
POUT        A6-2                            A23-2                                                           
POUT/       A23-2                           A19-1,A19-2,A23-2                                               
PRINC       A4-2                            A5-1,A5-2,A6-2                                                  
PRPOR1      A15-2                           A15-1,A15-2                                                     
PRPOR2      A15-2                           A15-1                                                           
PRPOR3      A15-1                           A15-1,A15-2                                                     
PRPOR4      A15-1                           A15-1,A15-2                                                     
PSEUDO      A6-2                            A6-2,A14-1,A21-2                                                
PTWOX       A5-1                            A6-1                                                            
Q2A         A2-1                            
QC0         A3-1                            A3-1,A3-2                                                       
QC0/        A3-1                            A3-2,A4-1,A4-2                                                  
QC1/        A3-1                            A3-2,A4-2                                                       
QC2/        A3-1                            A3-2,A4-2                                                       
QC3/        A3-1                            A3-2,A4-2                                                       
QXCH0       A3-2                            A3-2                                                            
QXCH0/      A3-2                            A5-2                                                            
R10/        A6-2                            
R15         A4-2                            A6-2,A8-1,A8-2                                                  
R1C         A14-2                           A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1,A11-2                     
R1C/        A4-2                            A14-2                                                           
R6          A5-2                            A6-2,A12-2,A15-2                                                
RA/         A4-2,A5-1,A5-2                  A7-2                                                            
RAD         A5-1                            A5-1,A12-1                                                      
RADRG       A12-1                           A6-1,A6-2                                                       
RADRPT      A18-2                           A15-1,A18-2                                                     
RADRZ       A12-1                           A6-2                                                            
RAG/        A7-2                            A7-2,A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1,A11-2                
RAND0       A4-2                            A4-2,A5-2,A6-2                                                  
RB/         A4-2,A5-1,A5-2,A6-1,A6-2        A7-2                                                            
RB1         A14-2                           A8-1                                                            
RB1/        A4-2,A6-2                       A14-2                                                           
RB1F        A6-1                            A15-2                                                           
RB2         A4-2                            A8-1                                                            
RBBEG/      A7-2                            A15-1                                                           
RBBK        A7-2                            A7-2                                                            
RBHG/       A7-2                            A10-2,A11-1,A11-2                                               
RBLG/       A7-2                            A8-1,A8-2,A9-1,A9-2,A10-1                                       
RBSQ        A3-1                            A6-1                                                            
RC+X+P      A16-1                           A26                                                             
RC+X+Y      A16-1                           A26                                                             
RC+X-P      A16-1                           A26                                                             
RC+X-Y      A16-1                           A26                                                             
RC+Y+R      A16-1                           A25                                                             
RC+Y-R      A16-1                           A25                                                             
RC+Z+R      A16-1                           A25                                                             
RC+Z-R      A16-1                           A25                                                             
RC-X+P      A16-1                           A26                                                             
RC-X+Y      A16-1                           A25                                                             
RC-X-P      A16-1                           A25                                                             
RC-X-Y      A16-1                           A25                                                             
RC-Y+R      A16-1                           A25                                                             
RC-Y-R      A16-1                           A25                                                             
RC-Z+R      A16-1                           A25                                                             
RC-Z-R      A16-1                           A25                                                             
RC/         A4-2,A5-1,A5-2,A6-1,A6-2        A7-2                                                            
RCG/        A7-2                            A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1,A11-2                     
RCH/        A6-1                            A24-1,A24-2                                                     
RCH05/      A16-1                           A16-1                                                           
RCH06/      A16-1                           A16-1                                                           
RCH07/      A23-2                           A23-2                                                           
RCH10/      A17-2                           A17-2                                                           
RCH11/      A17-2                           A16-2,A19-2,A23-2                                               
RCH12/      A16-2                           A16-1,A16-2,A23-2                                               
RCH13/      A22-1                           A18-1,A18-2,A19-2,A22-1,A23-2                                   
RCH14/      A22-1                           A19-1,A19-2,A23-2                                               
RCH15/      A18-1                           A18-1                                                           
RCH16/      A18-1                           A18-1                                                           
RCH30/      A17-1                           A17-1                                                           
RCH31/      A17-1                           A17-1                                                           
RCH32/      A17-1                           A17-1                                                           
RCH33/      A17-1                           A17-1,A18-2,A19-1                                               
RCHAT/      A24-1                           A1-1,A1-2                                                       
RCHBT/      A24-1                           A1-2                                                            
RCHG/       A24-1                           A7-2,A18-2,A23-1,A23-2                                          
RDBANK      A6-2                            A6-2                                                            
RDOUT/      A22-1                           A22-1                                                           
READ0       A4-2                            A4-2,A5-2                                                       
READ0/      A4-2                            A4-2                                                            
REBG/       A7-2                            A15-1                                                           
REDRST      A14-1                           A14-1                                                           
RELPLS      A12-1                           A3-1                                                            
RESETA      A14-1                           
RESETB      A14-1                           
RESETC      A14-1                           
RESETD      A14-1                           
RESTRT      A13-1                           A26                                                             
REX         A14-1                           
REY         A14-1                           
RFBG/       A7-2                            A15-1                                                           
RG/         A5-1,A5-2,A6-1                  A7-2                                                            
RGG/        A7-1,A7-2                       A7-2,A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1,A11-2                
RGG1        A7-2                            A7-1,A7-2                                                       
RHCGO       A19-2                           A19-2,A27,A28,A29                                               
RILP1       A14-2                           A14-2                                                           
RILP1/      A14-2                           A14-2                                                           
RINGA/      A2-1                            A2-1,A2-2                                                       
RINGB/      A2-1                            A2-1,A2-2                                                       
RL/         A5-1,A5-2                       A7-2                                                            
RL01/       A8-1,A15-2                      A8-1                                                            
RL02/       A8-1,A15-2                      A8-1                                                            
RL03/       A8-2,A12-2,A15-2                A8-2                                                            
RL04/       A8-2,A12-2                      A8-2                                                            
RL05/       A9-1,A12-2                      A9-1                                                            
RL06/       A9-1,A12-2                      A9-1                                                            
RL07/       A9-2                            A9-2                                                            
RL08/       A9-2                            A9-2                                                            
RL09/       A10-1,A15-1                     A10-1                                                           
RL10/       A10-1,A15-1                     A10-1                                                           
RL10BB      A5-2                            A7-2                                                            
RL11/       A10-2,A15-1                     A10-2                                                           
RL12/       A10-2,A15-1                     A10-2                                                           
RL13/       A11-1,A15-1                     A11-1                                                           
RL14/       A11-1,A15-1                     A11-1                                                           
RL15/       A10-2,A11-2                     A11-2                                                           
RL16        A11-2                           A11-2                                                           
RL16/       A11-2,A15-1                     A9-1,A11-2                                                      
RLG/        A7-1,A7-2                       A7-2,A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1,A11-2                
RLG1        A7-2                            A7-1,A7-2                                                       
RLG2        A7-2                            A7-1,A7-2                                                       
RLG3        A7-2                            A7-1,A7-2                                                       
RLYB01      A17-2                           A26                                                             
RLYB02      A17-2                           A26                                                             
RLYB03      A17-2                           A26                                                             
RLYB04      A17-2                           A26                                                             
RLYB05      A17-2                           A26                                                             
RLYB06      A17-2                           A26                                                             
RLYB07      A17-2                           A26                                                             
RLYB08      A17-2                           A26                                                             
RLYB09      A17-2                           A26                                                             
RLYB10      A17-2                           A26                                                             
RLYB11      A17-2                           A26                                                             
RNRADM      A18-2                           A13-1,A21-3                                                     
RNRADP      A18-2                           A13-1,A21-3                                                     
ROLGOF      A28                             A17-1                                                           
ROP/        A14-1                           A14-1                                                           
ROPER       A9-2,A15-2                      B16                                                             
ROPES       A9-2,A15-2                      B16                                                             
ROPET       A9-2,A15-2                      B16                                                             
ROR0        A4-2                            A4-2,A5-2                                                       
RPTA12      A15-1                           A15-1                                                           
RPTAD3      A15-2                           A15-2                                                           
RPTAD4      A15-2                           A12-2                                                           
RPTAD5      A15-2                           A12-2                                                           
RPTAD6      A15-1                           A12-2                                                           
RPTFRC      A3-1                            A3-1                                                            
RPTSET      A3-1,A6-2                       A3-1                                                            
RQ          A5-2                            A5-2,A21-3                                                      
RQ/         A21-3                           A7-2                                                            
RQG/        A7-2                            A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1,A11-2                     
RRIN0       A29                             A18-2                                                           
RRIN1       A29                             A18-2                                                           
RRPA        A4-2                            A6-1,A15-2                                                      
RRPA1/      A15-2                           A15-1,A15-2                                                     
RRPONA      A29                             A17-1                                                           
RRRANG      A18-2                           A28                                                             
RRRARA      A18-2                           A28                                                             
RRRLSC      A29                             A17-1                                                           
RRRST       A24-1                           A26                                                             
RRSYNC      A18-2                           A28                                                             
RSC/        A4-2,A12-1                      A4-2,A14-2                                                      
RSCG/       A14-2                           A7-2                                                            
RSCT        A5-2                            A5-2,A24-2                                                      
RSCT/       A24-2                           A21-1                                                           
RSM3        A3-2                            A3-2,A4-2,A5-1                                                  
RSM3/       A3-2                            A4-2,A5-1                                                       
RSSB        A21-2                           A20-1,A20-2,A21-3                                               
RSTK/       A14-1                           A6-1                                                            
RSTKX/      A6-1                            
RSTKY/      A6-1                            
RSTRT       A5-1                            A15-1                                                           
RSTSTG      A5-2                            A4-1,A5-2                                                       
RT          A2-1                            A2-3                                                            
RT/         A2-3                            A3-1,A7-2,A14-2,A24-1                                           
RU/         A5-1,A5-2,A6-1,A6-2             A7-2                                                            
RUG/        A7-2                            A11-2                                                           
RULOG/      A7-2                            A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1,A11-2                     
RUPT0       A4-2                            A4-2,A5-1,A6-2                                                  
RUPT0/      A4-2                            A4-2                                                            
RUPT1       A4-2                            A4-2,A6-2                                                       
RUPT1/      A4-2                            A4-2                                                            
RUPTOR/     A15-1                           A3-1                                                            
RUS/        A6-2                            A7-2                                                            
RUSG/       A7-2                            A24-2                                                           
RXOR0       A4-2                            A3-2,A4-2,A5-2                                                  
RXOR0/      A4-2                            A4-2,A5-2                                                       
RYWD12      A17-2                           A26                                                             
RYWD13      A17-2                           A26                                                             
RYWD14      A17-2                           A26                                                             
RYWD16      A17-2                           A26                                                             
RZ/         A5-1,A5-2,A6-2                  A7-2                                                            
RZG/        A7-2                            A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1,A11-2                     
S01         A12-2                           A6-1,A14-2,A17-2                                                
S01/        A12-2                           A6-1,A14-2                                                      
S02         A12-2                           A6-1,A14-2,A17-2                                                
S02/        A12-2                           A6-1,A14-2                                                      
S03         A12-2                           A6-1,A14-2,A17-2                                                
S03/        A12-2                           A6-1,A14-2                                                      
S04         A12-2                           A6-1,A14-2                                                      
S04/        A12-2                           A6-1,A14-2                                                      
