Signal      Source(s)                       Sink(s)                                                         
CH3210      A17-1                           A23-2                                                           
CH3310      A19-1                           A17-1                                                           
CH3311      A19-1                           A18-2                                                           
CH3312      A18-2                           A17-2                                                           
CH3313      A17-1                           A18-2                                                           
CH3314      A17-1                           A18-2                                                           
CH3316      A17-1                           A18-2                                                           
CHAT01      A1-1                            A23-1                                                           
CHAT02      A1-1                            A23-1                                                           
CHAT03      A1-1                            A23-1                                                           
CHAT04      A1-1                            A23-1                                                           
CHAT05      A1-1                            A23-1                                                           
CHAT06      A1-1                            A23-1                                                           
CHAT07      A1-1                            A23-1                                                           
CHAT08      A1-1                            A23-1                                                           
CHAT09      A1-1                            A23-2                                                           
CHAT10      A1-1                            A23-2                                                           
CHAT11      A1-1                            A18-2                                                           
CHAT12      A1-1                            A18-2                                                           
CHAT13      A1-2                            A18-2                                                           
CHAT14      A1-2                            A18-2                                                           
CHBT01      A1-2                            A23-1                                                           
CHBT02      A1-2                            A23-1                                                           
CHBT03      A1-2                            A23-1                                                           
CHBT04      A1-2                            A23-1                                                           
CHBT05      A1-2                            A23-1                                                           
CHBT06      A1-2                            A23-1                                                           
CHBT07      A1-2                            A23-1                                                           
CHBT08      A1-2                            A23-1                                                           
CHBT09      A1-2                            A23-2                                                           
CHBT10      A1-2                            A23-2                                                           
CHBT11      A1-2                            A18-2                                                           
CHBT12      A1-2                            A18-2                                                           
CHBT13      A1-2                            A18-2                                                           
CHBT14      A1-2                            A18-2                                                           
CHINC       A21-3                           A14-1,A21-2                                                     
CHINC/      A21-2                           A5-2,A21-3                                                      
CHOR01/     A16-1,A16-2,A17-1,A17-2,A23-1   A23-1                                                           
CHOR02/     A16-1,A16-2,A17-1,A17-2         
CHOR03/     A16-1,A16-2,A17-1,A17-2         
CHOR04/     A16-1,A16-2,A17-1,A17-2         
CHOR05/     A16-1,A16-2,A17-1,A17-2         
CHOR06/     A16-1,A16-2,A17-1,A17-2         
CHOR07/     A16-1,A16-2,A17-1,A17-2         
CHOR08/     A16-1,A17-1,A17-2               
CHOR09/     A17-1,A17-2,A23-2               A23-2                                                           
CHOR10/     A17-1,A17-2,A23-2               A23-2                                                           
CHOR11/     A17-1,A17-2,A18-2               A18-2                                                           
CHOR12/     A17-1,A17-2,A18-2               A18-2                                                           
CHOR13/     A17-1,A17-2,A18-2               A18-2                                                           
CHOR14/     A17-1,A17-2,A18-2               A18-2                                                           
CHOR16/     A17-1,A17-2,A18-2               A18-2                                                           
