FIND	QTY	TITLE	-121	-111	-101	-71	-91	-81	-51	-41	-61	-31	-21	-11	0
25	1	AGC NAV DSKY	1003706-051	1003706-051	1003706-051	1003706-031	1003706-031	1003577-021	1003570-011	1003706-051	1003570-021	1003524 MD1	1003524 MD1	1003458 MD1	1003458 MD1
24	1	GASKET, 360 PIN CONNECTOR	1004730	1004730	1004730	1004730	1004730	1004730	1004730	1004730	1004730	1004730	1004730		
23	1	FRONT PANEL MOUNT ASSY, LEFT SIDE	1003734	1003734	1003734	1003734	1003734	1003734	1003734	1003734	1003734	1003734	1003734		
22	1	SHIELD, STANDBY SWITCH, AGC	1004728	1004728	1004728	1004728	1004728	1004728	1004728	1004728	1004728	1004728	1004728		
21	2	WASHER, FLAT	MS15795-808	MS15795-808	MS15795-808	MS15795-808	MS15795-808	MS15795-808	MS15795-808	MS15795-808	MS15795-808	MS15795-808	MS15795-808		
20	8	SCREW, FLAT HD HEX SOC	1010630-40	1010630-40	1010630-40	1010630-40	1010630-40	1010630-40	1010630-40	1010630-40	1010630-40	1010630-40	1010630-40		
19	2	SCREW, FLAT HD HEX SOC	1010630-39	1010630-39	1010630-39	1010630-39	1010630-39	1010630-39	1010630-39	1010630-39	1010630-39	1010630-39	1010630-39		
18	1	FRONT CLOSE OUT PANEL	1004783	1004783	1004783	1004783	1004285	1004783	1004783	1004783	1004783	1004723	1004723		
17	1	SUPPORT FRONT PANEL	1003730	1003730	1003730	1003730	1003730	1003730	1003730	1003730	1003730	1003730	1003730		
16	1	FRONT PANEL MOUNT ASSY, RIGHT SIDE	1003735	1003735	1003735	1003735	1003735	1003735	1003735	1003735	1003735	1003735	1003735		
15	4	SCREW, SOC HD HEX	MS16996-10	MS16996-10	MS16996-10	MS16996-10	MS16996-10	MS16996-10	MS16996-10	MS16996-10	MS16996-10	MS16996-10	MS16996-10		
14	2	SCREW, SOC HD HEX	MS16996-13	MS16996-13	MS16996-13	MS16996-13	MS16996-13	MS16996-13	MS16996-13	MS16996-13	MS16996-13	MS16996-13	MS16996-13		
13	1	AGC CONN COVER PLATE													1003457
12	1	AGC TOE PLATE													1003180
11	4	SCREW, FLAT HD HEX SOC												1010630-38	1010630-38
10	4	SCREW, HEX HD												AN104608	AN104608
9	4	SCREW, HEX HD												AN104606	AN104606
8	4	BRACKET, COMP END CONN UPPER BRACE												1004272	1004272
7	14	SCREW, FLAT HD HEX SOC												1010630-58	1010630-58
6	1	AGC END CONNECTOR ASSY												1003489-011	1003489
5	1	G&N HARNESS TRAY ASSY												1003197-011	1003197
4	1	MEMORY TRAY B ASSY												1003493-011	1003184
3	1	LOGIC TRAY A ASSY												1003488-011	1003187
2	1	APOLLO GUIDANCE COMPUTER	1003700-071	1003700-051	1003700-051	1003700-051	1003700-051	1003565-041	1003565-011	1003700-071	1003565-031	1003700-011	1003700-011	1003496-011 MD1	1003186 MD2
1															
