STRIKE	QTY	TITLE	FIND	-11	-21	-31	-41	-51	-61	-71	-81	-91	-111	-121	-131	-141	-151	-161	-171	-181	-191	-211	-221	-231	-241	-251	-261	-271	-281	-291	-311	-321	-331	-341	-351	-361	-371	-381	-391	-411	-421	-431	-441	-451	-461	-471	-481	-491	-511	-521	-531	-541	-551	-561	-571	-581	-591
	4	SCREW, BUTTONHEAD	11	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1	1000093-1
	4	SCREW, STANDOFF	10	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151	2004151
	1	GASKET PLATE	9	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339	1006339
	2	STANDOFF	8	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071	2004071
	1	HOUSING	7	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100	2004100
	1	RESISTOR-DIODE BLOCK ASSY	6	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021	2003048-021
	1	COMPONENT BLOCK RESISTOR ASSY	5	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021	2003052-021
	1	COMPONENT BLOCK DIODE ASSY	4	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021	2003045-021
	1	CONNECTOR PLATE ASSY	3	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011	2003973-011
	1	SENSE WIRING ASSY, SIDE B	2	2010803-011	2010803-021	2010803-031	2010803-041	2010803-051	2010803-061	2010803-071	2010803-081	2010803-091	2010803-111	2010803-121	2010803-131	2010803-141	2010803-151	2010803-161	2010803-171	2010803-181	2010803-191	2010803-211	2010803-221	2010803-231	2010803-241	2010803-251	2010803-261	2010803-271	2010803-281	2010803-291	2010803-311	2010803-321	2010803-331	2010803-341	2010803-351	2010803-361	2010803-371	2010803-381	2010803-391	2010803-411	2010803-421	2010803-431	2010803-441	2010803-451	2010803-461	2010803-471	2010803-481	2010803-491	2010803-511	2010803-521	2010803-531	2010803-541	2010803-551	2010803-561	2010803-571	2010803-581	2010803-591
	1	SENSE WIRING ASSY, SIDE A	1	2010804-021	2010804-031	2010804-041	2010804-051	2010804-061	2010804-071	2010804-081	2010804-091	2010804-111	2010804-121	2010804-131	2010804-141	2010804-131	2010804-031	2010804-151	2010804-161	2010804-171	2010804-181	2010804-191	2010804-211	2010804-221	2010804-231	2010804-241	2010804-251	2010804-261	2010804-271	2010804-281	2010804-291	2010804-311	2010804-321	2010804-331	2010804-341	2010804-351	2010804-361	2010804-371	2010804-381	2010804-391	2010804-411	2010804-421	2010804-431	2010804-441	2010804-451	2010804-461	2010804-471	2010804-481	2010804-491	2010804-511	2010804-521	2010804-531	2010804-541	2010804-551	2010804-561	2010804-571	2010804-581
																																																									
X	0	PROOFED	REF	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
