-81	-39	-42	-38	-71	-62	-37	-36	-61	-51	-35	-34	-33	-24	-23	-12	-2	-41	-22	-32	-30	-1	-31	-21	-11	0	FIND	DRAWING	TITLE	STRIKE
X	X	X	X	X	X	X	X	X	X	X	X	X					X		X			X				REF	2012741	SCHEMATIC DIAGRAM SEXTANT	
																				X						REF	2012732	SCHEMATIC DIAGRAM SEXTANT (?)	
													X	X	X	X		X			X		X	X	X	REF	2012391	SCHEMATIC DIAGRAM SEXTANT (?)	
X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	REF	2012390	SCHEMATIC DIAGRAM, SCANNING TELESCOPE	
																													
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	23	2011955-1/6T	SPACER	
1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	22	2012568	RESOLVER TRIMMING MODULE ASSY	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	21	1011541	ADHESIVE, EPOXY	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	20	1011625-28	SCREW, CAP, HEX SOC HD, SELF LOCKING	
0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	1	0	1	1	1	19	2011946	RESOLVER TRIMMING MODULE ASSY	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	18	2011788	LONG EYE RELIEF EYEPIECE ASSEMBLY (SCT)	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	17	2012730-000	OPTICAL UNIT SUBASSY STAGE II	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	16	2011932	SXT EYEPIECE ASSEMBLY	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	15	NAS1189C02P3L	SCREW, SELF-LOCKING, 100 DEGREE FLAT HEAD	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AR	AR	AR	AR	AR	AR	AR	AR	14	2011887-1/7T	SHIM, SPACER (SCT TURRET)	
