WBODY+2	450	FMT_DP	FormatAdotsOrOga	TBD
WBODY+4	450	FMT_DP	FormatAdotsOrOga	TBD
X789	B5	FMT_SP	FormatEarthOrMoonDP	TBD
X789+2	B5	FMT_SP	FormatEarthOrMoonDP	TBD
YACTOFF	B14	FMT_SP	FormatXACTOFF	TBD
YCMD	B14	FMT_SP	FormatXACTOFF	TBD
YNBSAV	B1	FMT_DP		TBD
YNBSAV+2	B1	FMT_DP		TBD
YNBSAV+4	B1	FMT_DP		TBD
ZDOTD	B7	FMT_DP		TBD
ZNBSAV	B1	FMT_DP		TBD
ZNBSAV+2	B1	FMT_DP		TBD
ZNBSAV+4	B1	FMT_DP		TBD
